  1.6086E+01   8.3304E-05   1.5522E-04 
  4.8257E+01   2.6825E-04   4.6104E-04 
  8.0429E+01   4.4605E-04   7.5318E-04 
  1.1260E+02   5.7660E-04   1.0233E-03 
  1.4477E+02   7.4352E-04   1.2641E-03 
  1.7694E+02   9.0391E-04   1.4696E-03 
  2.0911E+02   1.0453E-03   1.6357E-03 
  2.4129E+02   1.1364E-03   1.7597E-03 
  2.7346E+02   1.2219E-03   1.8410E-03 
  3.0563E+02   1.2825E-03   1.8805E-03 
  3.3780E+02   1.3593E-03   1.8807E-03 
  3.6997E+02   1.3857E-03   1.8452E-03 
  4.0214E+02   1.4081E-03   1.7789E-03 
  4.3431E+02   1.4177E-03   1.6870E-03 
  4.6649E+02   1.3969E-03   1.5752E-03 
  4.9866E+02   1.3782E-03   1.4493E-03 
  5.3083E+02   1.3027E-03   1.3147E-03 
  5.6300E+02   1.2368E-03   1.1764E-03 
  5.9517E+02   1.1349E-03   1.0388E-03 
  6.2734E+02   1.0929E-03   9.0544E-04 
  6.5951E+02   1.0223E-03   7.7933E-04 
  6.9169E+02   9.4929E-04   6.6253E-04 
  7.2386E+02   8.7096E-04   5.5642E-04 
  7.5603E+02   8.0724E-04   4.6174E-04 
  7.8820E+02   7.5222E-04   3.7868E-04 
  8.2037E+02   6.6954E-04   3.0695E-04 
  8.5254E+02   6.0799E-04   2.4596E-04 
  8.8471E+02   5.3464E-04   1.9484E-04 
  9.1689E+02   4.8397E-04   1.5261E-04 
  9.4906E+02   4.3517E-04   1.1820E-04 
  9.8123E+02   3.7487E-04   9.0535E-05 
  1.0134E+03   3.4161E-04   6.8580E-05 
  1.0456E+03   3.1705E-04   5.1380E-05 
  1.0777E+03   2.4680E-04   3.8075E-05 
  1.1099E+03   2.4276E-04   2.7910E-05 
  1.1421E+03   1.9458E-04   2.0238E-05 
  1.1743E+03   1.8806E-04   1.4517E-05 
  1.2064E+03   1.7251E-04   1.0302E-05 
  1.2386E+03   1.4671E-04   7.2331E-06 
  1.2708E+03   1.2837E-04   5.0244E-06 
  1.3029E+03   1.0786E-04   3.4532E-06 
  1.3351E+03   9.5115E-05   2.3483E-06 
  1.3673E+03   8.1750E-05   1.5801E-06 
  1.3995E+03   7.6465E-05   1.0521E-06 
  1.4316E+03   6.0613E-05   6.9316E-07 
  1.4638E+03   4.6936E-05   4.5191E-07 
  1.4960E+03   4.6314E-05   2.9155E-07 
  1.5281E+03   3.8544E-05   1.8614E-07 
  1.5603E+03   3.4503E-05   1.1760E-07 
  1.5925E+03   1.8774E-04   7.3533E-08 
